Tipo	CNPJ Declarante	CNPJ Sucedida	CNPJ Detentor Crédito	Ano Período	Mês Período	Período Apuração	CFOP	Vlr Base Cálculo	Vlr IPI	Vlr Isentas/Não Tributadas	Vlr Outros
R11	04742371000108	04742371000108	04742371000108	2025	07	0	1201	33812,67	1242,27	0	32385,93
R11	04742371000108	04742371000108	04742371000108	2025	07	0	1556	79,87	8,99	21481,19	64777,48
R11	04742371000108	04742371000108	04742371000108	2025	07	0	2101	1034792,56	74013,32	26727,59	853125,08
R11	04742371000108	04742371000108	04742371000108	2025	07	0	2201	376,44	12,42	0	416,27
R11	04742371000108	04742371000108	04742371000108	2025	07	0	2556	4222,04	411,64	0	7000
R11	04742371000108	04742371000108	04742371000108	2025	07	0	3101	224843,57	8727,76	0	0
R11	04742371000108	04742371000108	04742371000108	2025	08	0	1201	14887,84	547,75	0	16725,57
R11	04742371000108	04742371000108	04742371000108	2025	08	0	2101	1798709,25	98947,91	8724,33	344622,58
R11	04742371000108	04742371000108	04742371000108	2025	08	0	2201	644,47	24,14	0	666,61
R11	04742371000108	04742371000108	04742371000108	2025	08	0	2911	402,32	60,35	20,38	0
R11	04742371000108	04742371000108	04742371000108	2025	08	0	3101	723424,3	29253,35	470339,59	0
R11	04742371000108	04742371000108	04742371000108	2025	09	0	2101	435612,01	53177,59	0	0
R11	04742371000108	04742371000108	04742371000108	2025	09	0	3101	142884,12	5757,28	0	0
R11	04742371000108	04742371000108	04742371000108	2025	10	0	1201	25419	923,21	0	47445,61
R11	04742371000108	04742371000108	04742371000108	2025	10	0	2101	1699552,2	137101,81	1225	0
R11	04742371000108	04742371000108	04742371000108	2025	10	0	2201	1602,56	55,36	0	911,16
R11	04742371000108	04742371000108	04742371000108	2025	10	0	2949	3959,07	133,38	0	0
R11	04742371000108	04742371000108	04742371000108	2025	10	0	3101	236614,35	9877,42	0	0
R11	04742371000108	04742371000108	04742371000108	2025	11	0	1201	2436,86	81,97	0	4607,13
R11	04742371000108	04742371000108	04742371000108	2025	11	0	2101	1386904,35	72216,32	0	3757,5
R11	04742371000108	04742371000108	04742371000108	2025	11	0	2201	67,7	2,2	0	38,44
R11	04742371000108	04742371000108	04742371000108	2025	11	0	2407	190,81	9,92	0	0
R11	04742371000108	04742371000108	04742371000108	2025	11	0	2556	40095,11	2648,12	0	0
R11	04742371000108	04742371000108	04742371000108	2025	11	0	2911	28,01	0,88	0	0
R11	04742371000108	04742371000108	04742371000108	2025	12	0	1201	7724,66	277,06	0	9878,34
R11	04742371000108	04742371000108	04742371000108	2025	12	0	1556	105,51	10,29	0	0
R11	04742371000108	04742371000108	04742371000108	2025	12	0	2101	1246521,27	111553,31	0	93084,68
R11	04742371000108	04742371000108	04742371000108	2025	12	0	2201	175,33	8,77	0	105,53
R11	04742371000108	04742371000108	04742371000108	2025	12	0	2407	457,56	23,79	0	0
R11	04742371000108	04742371000108	04742371000108	2025	12	0	2556	40516,02	1562,78	0	0
R11	04742371000108	04742371000108	04742371000108	2025	12	0	2910	351,75	52,76	0	200
R11	04742371000108	04742371000108	04742371000108	2025	12	0	3101	458575,99	19180,24	0	0
